epoch,loss,accuracy,val_loss,val_accuracy
0,2.836988687515259,0.1894422322511673,2.02705979347229,0.39962825179100037
1,1.133965015411377,0.6567729115486145,0.5697950720787048,0.8220260143280029
2,0.31365808844566345,0.9145418405532837,0.15692654252052307,0.9702602028846741
3,0.08479853719472885,0.9836653470993042,0.04856044799089432,0.9907063245773315
4,0.021808067336678505,0.9994024038314819,0.010416397824883461,1.0
5,0.008482914417982101,1.0,0.005584913305938244,1.0
6,0.004441981203854084,1.0,0.004863171372562647,1.0
7,0.0031540775671601295,1.0,0.0028677398804575205,1.0
8,0.002133413916453719,1.0,0.002110893838107586,1.0
9,0.001661759801208973,1.0,0.0019307973561808467,1.0
